id,displayName,formattedAddress,rating,servesBeer,servesWine,servesCocktails,goodForChildren,goodForGroups,reservable,outdoorSeating,liveMusic,servesDessert,priceLevel,paymentOptions,acceptsCreditCards,acceptsDebitCards,acceptsCashOnly,acceptsNfc,Type
ChIJ15jCTuYzMTARmH5evfWaCh0,Orizuru Ramen J-City,"Jl. J City Blok B 16, Pangkalan Masyhur, Kec. Medan Johor, Kota Medan, Sumatera Utara 20146, Indonesia","4,7",False,False,False,True,True,True,unknown,False,unknown,unknown,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,False,True,ramen_restaurant
ChIJXbwgCgcxMTARN65D-OLK7eY,Juro ramen,"Jl. Kumango No.13, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20212, Indonesia","4,9",unknown,False,True,True,True,True,False,False,True,unknown,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,False,True,ramen_restaurant
ChIJ04zI5hExMTARRX49I6SZkkk,Kuroiki Ramen Bar,"Jl. Orion No.58, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20111, Indonesia","4,7",True,unknown,True,True,True,True,unknown,False,True,unknown,"{'acceptsCreditCards': True, 'acceptsCashOnly': False}",True,unknown,False,unknown,ramen_restaurant
ChIJS6U6gskxMTARct5fEo3hbbM,Tip Top Restaurant,"Jl. Jend. Ahmad Yani No.92 A-B, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20212, Indonesia","4,4",True,False,True,True,True,True,True,True,True,PRICE_LEVEL_MODERATE,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,False,True,restaurant
ChIJ3VkPs8sxMTARO-CUXExw20o,Rumah Makan Tabona,"Jl. Mangkubumi No.17, A U R, Kec. Medan Maimun, Kota Medan, Sumatera Utara 20212, Indonesia","4,6",False,False,False,True,True,True,True,False,True,PRICE_LEVEL_MODERATE,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': False}",True,True,False,False,restaurant
ChIJD5thHMoxMTARGOXD_1kDLew,Garuda Restaurant,"Jl. Palang Merah No.26A, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20151, Indonesia","4,5",False,False,False,True,True,True,False,False,True,PRICE_LEVEL_MODERATE,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,False,True,restaurant
ChIJ6WblKMkxMTAR-v-JcK5Uz78,Rumah Makan David,"Jl. Hindu No.3, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20231, Indonesia","4,5",False,False,False,True,True,True,False,False,unknown,PRICE_LEVEL_MODERATE,{'acceptsCashOnly': True},unknown,unknown,True,unknown,restaurant
ChIJVRivM9MxMTARYKH8CGz_xZ4,Restoran Pohon Pisang,"Komplek The Crown, Jl. S. Parman No.16-17 Blok A, Petisah Hulu, Kec. Medan Baru, Kota Medan, Sumatera Utara 20153, Indonesia","4,3",False,False,False,True,True,True,False,False,True,PRICE_LEVEL_MODERATE,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,False,True,restaurant
ChIJNdiUcS8wMTAR6oMc_iJ4Nhk,Restoran Simpang Tiga,"Jl. Mongonsidi No.26, Polonia, Kec. Medan Polonia, Kota Medan, Sumatera Utara 20152, Indonesia","4,5",False,False,False,True,True,True,unknown,False,True,PRICE_LEVEL_MODERATE,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,False,True,restaurant
ChIJ-0Xl0ikxMTARJhcP1jrqrc0,Radisson Medan - The 7R Restaurant,"Jl. H. Adam Malik No.5, Sekip, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20114, Indonesia","4,3",unknown,unknown,unknown,True,True,True,True,unknown,True,unknown,"{'acceptsCreditCards': True, 'acceptsCashOnly': False}",True,unknown,False,unknown,restaurant
